yr	prob
987	1.12766056250649e-06
988	2.98549717658308e-06
989	7.67262260810886e-06
990	2.21735763982548e-05
991	7.75695203056236e-05
992	0.000228228220022269
993	0.000762656599686854
994	0.00234375302260162
995	0.00740434452140302
996	0.0196331481452393
997	0.0491144421192697
998	0.082428342474396
999	0.106525976143798
1000	0.12138564351706
1001	0.120226730961692
1002	0.115754194243503
1003	0.102256854545556
1004	0.0837396158173777
1005	0.0715014344393284
1006	0.0547818007291733
1007	0.0319964744278695
1008	0.017287419436579
1009	0.00813871295438883
1010	0.00292046795243762
1011	0.000970126382906752
1012	0.000308428385206031
1013	0.000104504337471213
1014	4.3682692201884e-05
1015	1.92074908102035e-05
1016	7.2645655743708e-06
1017	2.66234245931886e-06
1018	1.00602465586268e-06
