labID, age, error, ring, cc
Sib4084, 2180, 25,   0, 1
Sib4083, 2187, 20,  20, 1
Sib4082, 2210, 25,  40, 1
Sib4081, 2225, 25,  60, 1
Sib4080, 2217, 20,  80, 1
Sib4079, 2247, 25, 100, 1
Sib4078, 2280, 25, 120, 1
Sib4077, 2317, 25, 140, 1
Sib4076, 2335, 20, 160, 1
Sib4075, 2358, 25, 180, 1
Sib4074, 2387, 30, 200, 1
Sib4073, 2405, 25, 220, 1
Sib4072, 2432, 30, 240, 1
Sib4071, 2447, 20, 260, 1
Sib4070, 2468, 25, 280, 1
Sib4069, 2493, 20, 300, 1
Sib4068, 2528, 30, 320, 1
